Epoch 187, train loss 0.0657, test rmse 0.523785
Epoch 188, train loss 0.0672, test rmse 0.524134
Epoch 189, train loss 0.0650, test rmse 0.524353
Epoch 190, train loss 0.0656, test rmse 0.524216
Epoch 191, train loss 0.0641, test rmse 0.524546
Epoch 192, train loss 0.0671, test rmse 0.525016
Epoch 193, train loss 0.0659, test rmse 0.524895
Epoch 194, train loss 0.0659, test rmse 0.525100
Epoch 195, train loss 0.0649, test rmse 0.525034
Epoch 196, train loss 0.0632, test rmse 0.524992
Epoch 197, train loss 0.0672, test rmse 0.525065
Epoch 198, train loss 0.0653, test rmse 0.525161
Epoch 199, train loss 0.0650, test rmse 0.525405
Epoch 200, train loss 0.0649, test rmse 0.525369
